p14_bsi_1_1			0.00	7	7	Proteus_mirabilis	S
p14_bsi_1_1			0.00	2	2	Morganella_morganii	S
p14_bsi_1_1			0.00	6	6	Leminorella_richardii	S
p14_bsi_1_1			0.00	122	122	Pseudomonas_sp._MRSN12121	S
p14_bsi_1_1			0.00	75	75	Pseudomonas_syringae	S
p14_bsi_1_1			0.00	8	8	Pseudomonas_cichorii	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_fluorescens	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_oryzihabitans	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_citronellolis	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_stutzeri	S
p14_bsi_1_1			0.00	4	4	Pseudomonas_brassicacearum	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_moraviensis	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_sp._K2W31S-8	S
p14_bsi_1_1			0.00	2	2	Pseudomonas_sp._St29	S
p14_bsi_1_1			0.00	3	3	Acinetobacter_wuhouensis	S
p14_bsi_1_1			0.00	80	80	Aeromonas_rivipollensis	S
p14_bsi_1_1			0.00	60	60	Aeromonas_sp._CA23	S
p14_bsi_1_1			0.00	4	4	Aeromonas_hydrophila	S
p14_bsi_1_1			0.00	33	33	Halomonas_sp._JS92-SW72	S
p14_bsi_1_1			0.00	13	13	Halomonas_sp._KO116	S
p14_bsi_1_1			0.00	37	37	Halotalea_alkalilenta	S
p14_bsi_1_1			0.00	25	25	Alcanivorax_xenomutans	S
p14_bsi_1_1			0.00	26	26	Alcanivorax_sp._N3-2A	S
p14_bsi_1_1			0.00	39	39	Vibrio_tasmaniensis	S
p14_bsi_1_1			0.00	37	37	Vibrio_cholerae	S
p14_bsi_1_1			0.00	3	3	Vibrio_vulnificus	S
p14_bsi_1_1			0.00	55	55	Pseudoalteromonas_sp._SM9913	S
p14_bsi_1_1			0.00	2	2	Marinobacter_similis	S
p14_bsi_1_1			0.00	19	19	Sulfurifustis_variabilis	S
p14_bsi_1_1			0.00	2	2	Stenotrophomonas_sp._ESTM1D_MKCIP4_1	S
p14_bsi_1_1			0.00	3	3	Stenotrophomonas_maltophilia	S
p14_bsi_1_1			0.00	2	2	Frateuria_aurantia	S
p14_bsi_1_1			0.00	2	2	Nitrosococcus_halophilus	S
p14_bsi_1_1			0.00	2	2	Glaesserella_parasuis	S
p14_bsi_1_1			0.00	41	41	Pasteurella_multocida	S
p14_bsi_1_1			0.00	3	3	Gallaecimonas_sp._HK-28	S
p14_bsi_1_1			0.00	48	48	Burkholderia_sp._OLGA172	S
p14_bsi_1_1			0.00	36	36	Burkholderia_latens	S
p14_bsi_1_1			0.00	55	55	Burkholderia_dolosa	S
p14_bsi_1_1			0.00	32	32	Cupriavidus_necator	S
p14_bsi_1_1			0.00	23	23	Cupriavidus_nantongensis	S
p14_bsi_1_1			0.00	7	7	Cupriavidus_taiwanensis	S
p14_bsi_1_1			0.00	2	2	Cupriavidus_metallidurans	S
p14_bsi_1_1			0.00	2	2	Cupriavidus_gilardii	S
p14_bsi_1_1			0.00	33	33	Polynucleobacter_necessarius	S
p14_bsi_1_1			0.00	46	46	Comamonas_serinivorans	S
p14_bsi_1_1			0.00	34	34	Delftia_sp._Cs1-4	S
p14_bsi_1_1			0.00	12	12	Hydrogenophaga_crassostreae	S
p14_bsi_1_1			0.00	2	2	Variovorax_paradoxus	S
p14_bsi_1_1			0.00	44	44	Massilia_putida	S
p14_bsi_1_1			0.00	2	2	Bordetella_genomosp._8	S
p14_bsi_1_1			0.00	6	6	Alcaligenes_faecalis	S
p14_bsi_1_1			0.00	42	42	Chromobacterium_violaceum	S
p14_bsi_1_1			0.00	7	7	Vitreoscilla_sp._C1	S
p14_bsi_1_1			0.00	2	2	Neisseria_subflava	S
p14_bsi_1_1			0.00	41	41	Azospirillum_lipoferum	S
p14_bsi_1_1			0.00	4	4	Azospirillum_brasilense	S
